vol,logmean,gap_area_percent,forest_map,closed,open,other,fire,fire_bb,w,year
0,0,100,other,0,0,1,0,1,1,2018
0,0,100,other,0,0,1,0,1,1,2018
31.913996639492,2.19955891590767,78.9166666666667,closed,1,0,0,0,1,2.50980401039124,2018
0,0,100,other,0,0,1,0,1,8,2018
17.5809603886162,1.80430358080866,32.5,closed,1,0,0,0,1,2.50980401039124,2018
0,1.70437996399985,99.1666666666667,open,0,1,0,0,1,5.01960802078247,2018
0,0,100,other,0,0,1,0,1,1,2018
0,0,100,other,0,0,1,0,1,1,2018
0,0,100,other,0,0,1,0,1,1,2018
79.5269838339849,2.2880077930138,17.8333333333333,closed,1,0,0,1,1,2.50980401039124,2018
0,2.09303879476727,75.1111111111111,other,0,0,1,0,1,1,2018
0,0,100,other,0,0,1,0,1,2.50980401039124,2018
0,0,100,other,0,0,1,0,1,1,2018
0,0,100,other,0,0,1,0,1,1,2018
0,0,100,other,0,0,1,0,1,1,2018
0,0,100,other,0,0,1,0,1,1,2018
0,1.82933977388135,88.6111111111111,closed,1,0,0,0,1,5.01960802078247,2018
0,3.88068286844155,91.8888888888889,other,0,0,1,0,1,1,2018
0,1.9408441495175,44.6388888888889,other,0,0,1,0,1,1,2018
10.6110257236844,1.70105517230511,96.5,closed,1,0,0,0,1,2.50980401039124,2018
0,0,100,other,0,0,1,0,1,1,2018
0,2.22449590516024,66.25,other,0,0,1,0,1,1,2018
0,0,100,other,0,0,1,0,1,1,2018
0,0,100,other,0,0,1,0,1,1,2018
30.4598368912543,2.08734635683824,95.8333333333333,open,0,1,0,0,1,5.01960802078247,2018
0,0,100,other,0,0,1,1,1,5.01960802078247,2018
0,0,100,other,0,0,1,0,1,1,2018
0,0,100,other,0,0,1,0,1,1,2018
0,1.78866903251143,99.9166666666667,other,0,0,1,1,1,1,2018
0,0,100,other,0,0,1,0,1,1,2018
0,0,100,other,0,0,1,0,1,1,2018
9.39563265168064,0,100,open,0,1,0,0,1,5.01960802078247,2018
0,0,100,other,0,0,1,0,1,5.01960802078247,2018
0,0,100,other,0,0,1,0,1,1,2018
21.4175126934838,1.83887609698226,83.9444444444444,closed,1,0,0,0,1,5.01960802078247,2018
0,0,100,other,0,0,1,0,1,1,2018
0,1.94346751441076,98.5833333333333,open,0,1,0,0,1,2.50980401039124,2018
0,0,100,other,0,0,1,0,1,1,2018
0,2.55448726276289,82.0555555555556,other,0,0,1,0,1,1,2018
0,0,100,other,0,0,1,0,1,1,2018
0,0,100,other,0,0,1,0,1,1,2018
30.4948509998895,1.93347969650084,37.4444444444444,closed,1,0,0,1,1,2.50980401039124,2018
0,0,100,other,0,0,1,0,1,1,2018
0,0,100,other,0,0,1,0,1,1,2018
0,1.64527926239219,99.6666666666667,open,0,1,0,0,1,5.01960802078247,2018
0,0,100,other,0,0,1,0,1,1,2018
0,0,100,other,0,0,1,0,1,1,2018
0,0,100,other,0,0,1,0,1,1,2018
0,2.04287765470393,82.6944444444444,other,0,0,1,0,1,1,2018
0,0,100,other,0,0,1,0,1,1,2018
0,0,100,other,0,0,1,0,1,1,2018
0,2.05563605314572,37,other,0,0,1,0,1,1,2018
0,0,100,other,0,0,1,0,1,1,2018
0,0,100,other,0,0,1,0,1,1,2018
0,0,100,other,0,0,1,0,1,1,2019
0,1.63736362973103,99.8333333333333,other,0,0,1,0,1,1,2019
0,0,100,other,0,0,1,0,1,1,2019
0,0,100,other,0,0,1,0,1,1,2019
0,0,100,other,0,0,1,0,1,8,2019
0,0,100,other,0,0,1,0,1,1,2019
0,2.04513237686237,92.7777777777778,other,0,0,1,1,1,1,2019
0,2.07019319407564,26.3333333333333,other,0,0,1,0,1,1,2019
40.7759001466349,2.30126939672414,76.6944444444444,closed,1,0,0,0,1,4.8301887512207,2019
0,0,100,other,0,0,1,0,1,1,2019
0,0,100,other,0,0,1,0,1,1,2019
0,0,100,other,0,0,1,0,1,1,2019
0,1.98018899047392,97.6666666666667,other,0,0,1,0,1,1,2019
0,2.02910404521879,97.6388888888889,other,0,0,1,0,1,1,2019
95.8662387247145,1.8995637700094,56.8611111111111,closed,1,0,0,0,1,4.8301887512207,2019
0,2.18729492593966,91.1944444444444,other,0,0,1,0,1,1,2019
0,0,100,other,0,0,1,0,1,8,2019
0,0,100,other,0,0,1,0,1,1,2019
0,0,100,other,0,0,1,0,1,1,2019
0,0,100,other,0,0,1,0,1,1,2019
37.0401402936825,1.94887039978102,57.0277777777778,closed,1,0,0,1,1,2.41509437561035,2019
0,0,100,other,0,0,1,0,1,1,2019
0,1.86167539734791,88.0833333333333,other,0,0,1,0,1,1,2019
0,0,100,other,0,0,1,0,1,1,2019
0,0,100,other,0,0,1,0,1,1,2019
26.7241438852079,2.03295332125182,55.4444444444444,closed,1,0,0,1,1,4.8301887512207,2019
35.0345150011148,1.72445898736691,88.4444444444444,closed,1,0,0,0,1,4.8301887512207,2019
0,0,100,other,0,0,1,0,1,1,2019
0,0,100,other,0,0,1,0,1,8,2019
55.2240791584894,1.6514710872418,99.9444444444444,closed,1,0,0,0,1,2.41509437561035,2019
0,0,100,other,0,0,1,0,1,8,2019
0,0,100,open,0,1,0,1,1,1,2019
0,2.07574904268079,97.6666666666667,other,0,0,1,1,1,4,2019
11.5169651115467,1.67452098589869,98.6111111111111,closed,1,0,0,0,1,4.8301887512207,2019
0,0,100,other,0,0,1,0,1,1,2019
0,0,100,other,0,0,1,0,1,1,2019
0,0,100,other,0,0,1,0,1,1,2019
0,0,100,other,0,0,1,0,1,1,2019
0,1.87483387423737,84.3611111111111,other,0,0,1,0,1,1,2019
0,1.62899355731868,82.8611111111111,other,0,0,1,0,1,1,2019
0,0,100,other,0,0,1,0,1,1,2019
0,0,100,other,0,0,1,0,1,1,2019
0,1.78385911427382,93.8888888888889,open,0,1,0,0,1,4.8301887512207,2019
0,0,100,other,0,0,1,0,1,1,2019
0,0,100,other,0,0,1,0,1,1,2019
0,0,100,other,0,0,1,0,1,1,2019
0,0,100,other,0,0,1,0,1,1,2019
18.8393344508718,1.98160122948642,69.0277777777778,closed,1,0,0,0,1,2.41509437561035,2019
0,0,100,other,0,0,1,1,1,1,2019
0,0,100,other,0,0,1,0,1,1,2019
0,0,100,other,0,0,1,0,1,1,2019
0,0,100,other,0,0,1,0,1,1,2019
4.31599985586251,1.63413770469315,98.3333333333333,closed,1,0,0,0,1,4.8301887512207,2019
0,0,100,other,0,0,1,0,1,1,2019
0,1.69131872081839,0,other,0,0,1,0,1,1,2019
0,0,100,other,0,0,1,0,1,1,2020
0,0,100,other,0,0,1,0,1,1,2020
0,0,100,closed,1,0,0,0,1,4.65454530715942,2020
140.424722279117,2.57054553682042,38.75,closed,1,0,0,0,1,2.32727265357971,2020
0,0,100,other,0,0,1,0,1,1,2020
0,0,100,other,0,0,1,0,1,1,2020
0,0,100,other,0,0,1,0,1,1,2020
0,0,100,other,0,0,1,1,1,4,2020
0.737986162852582,1.76945386887503,95.9444444444444,open,0,1,0,0,1,4.65454530715942,2020
0,1.82231469066136,97.9166666666667,other,0,0,1,0,1,1,2020
0,1.78282402875597,97.3055555555556,other,0,0,1,0,1,1,2020
0,1.76024955659906,98.0833333333333,other,0,0,1,0,1,1,2020
0,0,100,other,0,0,1,1,1,1,2020
0,1.85114336840449,98.6944444444444,other,0,0,1,1,1,1,2020
0,0,100,other,0,0,1,0,1,1,2020
0,0,100,other,0,0,1,0,1,1,2020
0,0,100,other,0,0,1,0,1,1,2020
48.1453550560659,1.940900999566,98.5555555555556,closed,1,0,0,0,1,2.32727265357971,2020
0,1.89636766879598,93.2222222222222,other,0,0,1,1,1,4,2020
35.3306246225374,2.06950039220609,32,closed,1,0,0,0,1,4.65454530715942,2020
59.0517945052339,1.786047087573,38.3055555555556,closed,1,0,0,0,1,4.65454530715942,2020
0,0,100,other,0,0,1,0,1,1,2020
0,0,100,other,0,0,1,0,1,1,2020
0,0,100,other,0,0,1,0,1,1,2020
0,0,100,other,0,0,1,1,1,2.32727265357971,2020
82.2969537932126,1.96945432817634,45.6666666666667,closed,1,0,0,0,1,2.32727265357971,2020
0,0,100,other,0,0,1,0,1,1,2020
0,1.91739293312311,93.3888888888889,open,0,1,0,0,1,4.65454530715942,2020
0,0,100,other,0,0,1,0,1,1,2020
0,1.75467260247881,89.5833333333333,other,0,0,1,0,1,1,2020
0,1.85042953585248,93.0555555555556,other,0,0,1,0,1,1,2020
0,0,100,closed,1,0,0,0,1,2.32727265357971,2020
0,0,100,other,0,0,1,1,1,8,2020
0,0,100,other,0,0,1,0,1,4.65454530715942,2020
0,1.78797010936994,90.1111111111111,other,0,0,1,0,1,1,2020
0,2.05398823755493,99.9166666666667,other,0,0,1,0,1,1,2020
0,1.80986575400381,95.1388888888889,other,0,0,1,0,1,1,2020
0,0,100,other,0,0,1,0,1,1,2020
0,1.76078187406505,99.1944444444444,other,0,0,1,0,1,1,2020
0,0,100,other,0,0,1,0,1,1,2020
0,0,100,other,0,0,1,0,1,1,2020
118.904631016551,2.20095665547937,14.5277777777778,closed,1,0,0,0,1,4.65454530715942,2020
0,0,100,other,0,0,1,0,1,8,2020
0,0,100,other,0,0,1,0,1,1,2020
5.97685807692657,0,100,closed,1,0,0,0,1,2.32727265357971,2020
0,1.69158501219787,99.4444444444444,other,0,0,1,0,1,1,2020
0,0,100,other,0,0,1,0,1,1,2020
0,0,100,other,0,0,1,0,1,1,2021
0,0,100,other,0,0,1,0,1,1,2021
9.88422831833578,2.32516091493977,96,open,0,1,0,0,1,4.8301887512207,2021
