fire,cso,poidse1,poidse2,poidse3,csa,v_wac,class_1,class_2,class_3,fire_bb,year
,6A,1,,,,,Other,Missing,Missing,,2018
,1,1,,,,,closed,Missing,closed,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,6A,1,,,,,Other,Missing,closed,,2018
,1,1,,,,,closed,Missing,closed,,2018
,1,1,,,,,closed,Missing,closed,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,1,1,1,,1,,closed,closed,closed,,2018
,7,1,1,,7,,Other,Other,Missing,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,1,1,2.50980401039124,,6H,,closed,Other,closed,,2018
,1,1,,,,,closed,Missing,closed,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,9,1,1,,9,,Other,Other,Missing,,2018
,1,1,,,,,closed,Missing,closed,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,6A,1,,,,,Other,Missing,Missing,,2018
,6A,1,,,,,Other,Missing,Missing,,2018
,9,1,1,,9,,Other,Other,Missing,,2018
,1,1,,,,,closed,Missing,closed,,2018
,7,1,1,,7,,Other,Other,Missing,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,6A,1,,,,,Other,Missing,Missing,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,6A,1,,,,,Other,Missing,Missing,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,1,1,,,,,closed,Missing,closed,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,6A,1,,,,,Other,Missing,Missing,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,6A,1,,,,,Other,Missing,Missing,,2018
,1,1,5.01960802078247,1,1,103.14951937588,closed,closed,closed,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,1,1,2.50980401039124,1,1,115.645641174515,closed,closed,closed,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,7,1,1,,7,,Other,Other,Missing,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,6A,1,1,,6A,,Other,Other,Missing,,2018
,1,1,,,,,closed,Missing,closed,,2018
,3,1,5.01960802078247,1,1,1.085563298256,Opened,closed,closed,,2018
,6A,1,,,,,Other,Missing,Missing,,2018
